"School","Return_Start_Date","Return End Date","Date","Arrangements1","Arrangements2","Risk Assessment1","Risk Assessment2","Risk Assessment3","H&S Training1","H&S Training2","H&S Training3","H&S Training4","H&S Training5","Fire Drills1","Fire Drills2","PEEPS1","PEEPS2","PEEPS3","BU Owned Assets1","BU Owned Assets2","BU Owned Assets3","Incidents and Investigations1","Incidents and Investigations2","Incidents and Investigations3","Incidents and Investigations4","Monitoring Schedule1","Monitoring Schedule2","Monitoring Schedule3","Leadership walkarounds1","Leadership walkarounds2","Action Log1","Action Log2","Action Log3","Return_completed?","BU_arrangements_comments","RA_comment","H&S Training_5_confidence","Risk Assessment3_confidence","H&S_training_comments","fire_drills_comments","PEEPS_comments","assets_comments","incidents_comments","monitoring_comments","actions_comments"
"Computer Sciences","01/08/2025","31/01/2026","01/08/2025 00:00","19","19","11","11","40%","146","93","128","100","65%","1","0","7","4","0","0","0","0","0","2","1","2","3","7","7","1","1","[""RMS""]","0","3","True","Document has been updated May 25","Risk assessment Log/register in place

Currently reviewing and updating research/teaching risk assessments and putting a new Computer Science risk assessment policy in place","Quite Confident (61%-85%)","Somewhat Confident (36%-60%)","A training matrix is in place and gets updated regularly. ","We do a business unit fire drill every year. Our last one was done in May 24 and we log all of them. The fire drill process has now changed and we are waiting on the fire department to tell us what month we are going to be doing our next one. ","Number of PEEPs required = 7 (this is over the last academic year and includes one student who will graduate this week). Number of PEEPs in place = 4 (of the 3 missing; one student did not respond to requests to set up a PEEP, two names have only just appeared when I searched on the system. ",,"We have had 2 incidents in the reporting period. Both got reported and investigated. One was near miss. ","Monthly housekeeping checks are being done. We keep a housekeeping log and any actions from the checks go into the log. Full inspections are to be carried out every 12 months. The Business Unit Senior Leaders do a safety walk around yearly. Ours was recently done in April 2025 and logged.  
",
"BDI","01/08/2025","31/01/2026","01/08/2025 00:00","33","20","443","207","44","805","582","716","80","5","2","2","0","0","0","114","1","0","0","7","4","11","17","11","5","4","3","[""Inspection"",""Audit"",""Incident Investigation"",""Risk Assessment"",""Committee"",""RMS""]","69","63","True","33 topics are relevant to the BDI, 20 have been reviewed and updated. We have 13 that exist as arrangements but have not been recently reviewed.","We launched our risk assessment register 13th August after doing a pre-launch in June where we did an incentive to carry out the groups bulk uploads into the register for them. 
We are also doing a drop in session for anyone not sure on the system or needing further assistance","Very Confident (86%-100%)","Quite Confident (61%-85%)","Training matrix - Schools assigning to Atlas as well as courses linked on our matrix but are not currently available i.e Safety Office & UoN courses.

% in date - As BDI, we are unable to access a lot of training data as we are not part of the schools that our staff work under.",,"We currently have no one requiring a PEEP","1 PNA Gemini Autoclave from A91 which is in storage

25 assets completed in 2025 during the reporting period.",,"1 leadership walkaround was rescheduled to September due to scheduling conflicts and annual leave for the summer holidays.

Inspections were rescheduled and shuffled. Additionally, we are reworking our inspection schedule to include more inspecting staff as we had only 3 conducting inspections.",
"Health and Safety","01/08/2025","31/01/2026","01/08/2025 00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"True",,,,,,,,,,,
"Biosciences","01/08/2025","31/01/2026","01/08/2025 00:00","32","29","0","0","90","299","240","260","90","80","11","2","1","1","0","226","0","0","0","7","2","9","16","0","0","1","1","[""Incident Investigation"",""Committee"",""RMS"",""Inspection"",""Audit"",""Risk Assessment""]","36","21","True","Note that 2 of the missing 'arrangements' are the Risk Register (of RAs), and the Emergency Response Plan. The remaining missing arrangement is for DSEAR. The Stress Managements Arrangements have been written, but may need further revision following further review by various School committees.","There is no RA risk register in place. This will be created once the School's Safety SharePoint site is created and RAs are uploaded and reviewed (in the coming months). Obviously there are MRAs and ARAs in place for the work being carried out, but these have not be put into a 'register'.","Quite Confident (61%-85%)","Quite Confident (61%-85%)","All staff have done Fire Safety training, but I have chased those who's training has lapsed (hence the discrepancy of 39). I'm chasing those who haven't done the Induction course. ","Remaining 9 fire drills were planned for July, but had to be postponed due to the other building attendant being off sick on the day it was planned for. Being rearranged for August.",,,,"Annual monitoring is planned for next reporting period in all 16 areas of the School.","This is the data from the RMS. A lot of actions from the H&S Committee overlap with the RMS actions."
"Chemistry","01/08/2025","31/01/2026","01/08/2025 00:00","35","35","0","0","80","178","162","114","0","0","3","3","1","1","0","187","0","6","2","36","10","34","9","9","9","4","4","[""RMS""]","5","5","True",,"The new School Sharepoint site contains a comprehensive new Risk Assessment register but it is not live yet.  The School H&S Coordinator has a good knowledge of Risk Assessment in the School as evidenced by files stored on local drives and Teams.  ",,,"The new School Sharepoint site contains a comprehensive new Training Matrix register but it is not live yet.",,"There is one PEEP that I am aware of.",,"Near miss number is an estimate.",,
"Mathematical Sciences","01/08/2025","31/01/2026","01/08/2025 00:00","23","23","6","6","85%","115","100","110","100%","78%","1","1","2","2","0","2","0","0","0","0","0","0","134","7","7","7","7",,"3","3","True",,"We need to do some more work on the risk assessment that covers students for out of hours  ","Quite Confident (61%-85%)","Quite Confident (61%-85%)","We regularly remind staff of the importance of training, we try and ensure new staff complete the mandatory training within a couple of weeks of their induction. Staff need a reminder  about DSE. We would like to know more about when and how UniCore will assist us in monitoring uptake of training ",,"We have recently refreshed Evac chair training withing the school of Maths, 3 people  have been trained July 25. We need to ensure that we practice and also ensure that we complete drills with the people in question ",,,"Yearly we carry out individual offices inspection. Monthly - common spaces",
"Pharmacy","01/08/2025","31/01/2026","01/08/2025 00:00","28","25","117","117","75%","147","123","148","90","50","2","2","5","4","1","19","3","0","2","12","5","15","36","0","0","0","0",,"14","14","True","BU arrangements document is being slowly edited and updated as improvements are made to the schools H&S compliance.
Most BU arrangements have been signed off by the head of the business unit and FPVC/PS director, however it was highlighted some of these arrangements were not suitable and sufficient.","at last count, there were 117 responses to the RA register submission, however there are 782 risk assessments in the library.
Although i am somewhat confident that most/all people have RAs for the work they are doing, i am much less confident that these are actively monitored and updated.",,,"These numbers are gathered from the august 2025 return linked above. However, i get slightly different numbers if i use the HSD unicore data and cross ref that with the staff list:
133 - fire safety
111 - H&S induction","1 drill per building - Boots Science Building and Pharmacy School Building","3 student PEEPs, 1 recently created for a staff member, 1 in the process of being created for a staff member.
no temporary PEEPs for staff members at the moment.","3 assets unavailable due to the pharmacy/psychology C floor issue - these need to be reviewed and either removed from the asset list or their located updated to BDI and checked.","we still have 1 ongoing - incident 18537 - just waiting for advice but incident has been investigated","This is in the process of being organised and re-started. Housekeeping checks have been implemented and are going well
number of areas requiring inspection may be subject to change depending on how we aproach PSB audits. 36 is the number of areas currently seperated for housekeeping checks.","other - discussions with H&S stakeholders in single meetings outside of committee."
"Physics and Astronomy","01/08/2025","31/01/2026","01/08/2025 00:00","35","35","0","0","70","199","109","175","0","0","2","1","1","1","1","0","0","0","0","3","0","3","7","7","7","4","4",,"5","5","True",,"The Risk Assessment register in Physics & Astronomy is not live yet.","Very Confident (86%-100%)","Quite Confident (61%-85%)","There isn't a training matrix in Physics & Astronomy at the moment.",,,"No-one in the School of Physics & Astronomy is able to access the Allianz database.",,,
"Psychology","01/08/2025","31/01/2026","01/08/2025 00:00","10","10","410","80","90","112","52","90","100%","100","1","2","0","0","0","2","2","0","0","4","0","4","4","3","3","0","0","[""RMS""]","8","1","True","School BU arrangements (Low risk) currently in date but will be due for review before next KPI return.","The school RA database holds all RA's from it's inception including may archived (or not live) RA's The vast majority of RA's are for specific research activities and often do not need reviewing after completion of the activity. There are roughly 10% of school RA's that are ongoing","Very Confident (86%-100%)","Very Confident (86%-100%)","All Psychology staff, PGR's and casual workers due an 'in house' basic building safety induction including fire safety current records show completion rate at 95% for current staff. This may confuse Psychology staff as to the requirement for an additional online safety induction. ","One school arranged drill and one false alarm recently that necessitated a full evacuation so acted as a drill in absence of safety office arranged drill. NB school now occupies two buildings and Med school still retains responsibility for fire drills in HS building. They arranged 1 fire drill.","No PEEPS in place currently. This varies yearly with each new UG and PGR intake in October when I will often be notified by individual staff members.","Two portable air compressors listed as on Allianz database held within school (both unused) last checked and serviced circa 2023 when they where identified and added to list","Incident numbers 18233, 18290, 18293,18408","Currently inspection broken down into 4 areas, Psych main building offices, labs, workshop and HS building. Leadership walkarounds needs flagging in school safety committee for both buildings.","No separate log outside RMS held in school. Actions from inspections/audits raised as required on estates planon or locally actioned as required. Outstanding Med/High priority items all relate to COSHH module and work at Hillcrest ongoing to resolve completion of these including BSO appointment."
"Life Sciences","01/08/2025","31/01/2026","01/08/2025 00:00","23","17","821","820","75","337","237","283","75%","60","0","0","0","0","0","42","3","1","0","15","9","24","182","42","42","1","1","[""Audit"",""RMS"",""Committee"",""Housekeeping"",""Inspection"",""Incident Investigation"",""Risk Assessment""]","21","20","True","Plan to completed review, and approved BU has been developed. The plan and is located in the SoLS Safety team's Team chanel.","RA coverage percentage is unknown—75% is an estimate.","Somewhat Confident (36%-60%)","Quite Confident (61%-85%)","Atlas training is being introduced across SoLS in line with the Faculty-approved schedule. Consequently, not all Atlas modules listed in the SoLS training matrix are currently available.

% Staff who are in date with all training requirements from the Matrix is unknown - 60% is an estimate.
","The drill for the LSB was completed during the previous reporting period.","There are currently no PEEPs in place for staff within SoLS.","Live data provided by Matt Hardman.","Note Incidents ID 18330 and 18389 reassigned to Estates for investigation.","All inspections scheduled for the current reporting period have been completed within the designated time-frame.","One action from the bio audit remains outstanding — we are currently awaiting delivery of the autoclave containers. The delay is due to ongoing supply chain issues. Please note that the purchase order was placed in early July to ensure receipt before the previous financial year end."
"Medicine","01/08/2025","31/01/2026","01/08/2025 00:00","46","22","258","211","65%","912","1017","996","95","35","4","4","4","4","0","115","3","0","1","9","2","10","24","15","15","3","3","[""Audit"",""RMS"",""Inspection""]","254","180","True","5 Local Arrangements are completed & reviewed but are yet to be approved (will be approved at next safety committe on 29th Aug 25)
9 Local Arrangements are yet to be written
10 Local Arrangements are beyond their review-by date

","65% RA coverage - most techniques have RAs, but we are deficient in manual handling and COSHH RAs. ","Somewhat Confident (36%-60%)","Somewhat Confident (36%-60%)","Accessible training percentage does not include Atlas courses as those are still being rolled out.",,,"The three items that have not been inspected (1 x N2 gas manifold & 2 x liquid nitrogen dewars) are currently out of use & awaiting re-commissioning.","1 incident not investigated was submitted on 31/07/25 so no time to investigate in return period.",,"Breakdown:
Inspection: 159 were due for completion of which 103 completed
Audits: 22 were due for completion of which 8 completed
RMS: 73 were due for completion of which 73 completed"
"Veterinary Medicine and Science","01/08/2025","31/01/2026","01/08/2025 00:00","37","22","203","127","90","270","167","274","90","60","7","6","1","1","0","182","1","5",,,,,"20","7","2","3","3","[""Audit"",""Committee"",""RMS"",""Inspection""]","14","14","True","15 are in place but require review","Work is underway currently to ensure all RAs are updated and any that are duplicates are removed.","Somewhat Confident (36%-60%)","Quite Confident (61%-85%)","The number of staff within the department is a best guess as it was not possible for anyone within the schools admin team to pull the report from Unicore. ",,,"
The assets where the inspection is overdue/plant not available is a piece of equipment which we no longer have within the school, we have asked for this to be removed from the Allianz system. 
The 5 B defects are currently being addressed by the areas where the equipment is located.",,"Due to movement into a new research building and the restructure of the remaining research areas, the inspection schedule for these areas has been paused. The schedule will be revisited and the inspections restarted. ",
"Engineering","01/08/2025","31/01/2026","01/08/2025 00:00","23","11","504","500","80","849","673","766","100","29","23","23","0","0","0","1669","47","2","0","25","68","93","380","17710","8500","1","1","[""Inspection"",""Audit"",""Incident Investigation"",""Committee"",""RMS""]","43","41","True","LA's completed for priority topics. 1 for Work Equipment is overdue due to ongoing consultation with Pay and Reward regarding payment for SCR's. The work on Work Equipment will commence when this role is in place. Remaining LA are scheduled to be completed over the next 3 months.","Although the Faculty need to create specific topic RAs as a requirement of the RMS, there are general RA's that cover all work activities in the form of Area Risk Assessments that have been completed for all labs and workshops. A significant number of PUWER RAs are required.","Very Confident (86%-100%)","Very Confident (86%-100%)",,"All fire drills are scheduled and completed on an annual basis.","There has been no requirement for PEEPs in the Faculty","Having recently reviewed the PNAs with Area Managers the number has reduced from 187 to 47. This may not be reflected yet in the Allianz dashboard as the work to finalise the number has only recently been completed and we cannot carry out these suspensions on the Allianz portal ourselves. ","All IRS reports and locally reported near misses are combined onto 1 spreadsheet for the Faculty H&S Team to track and investigate. The Faculty KPI is to have commenced investigations within 2 weeks and progress is monitored at the Faculty H&S Committee.","Zetasafe was implemented in February and a recent review has identified reasons for non-conformance. An LA is being created to implement a robust process to ensure monitoring is undertaken as required.
Leadership tours are planned and carried out as required. ","2 High priority actions outstanding on the RMS related to Work Equipment - creating a local arrangement and an inventory of all items requiring PUWER assessments. We had anticipated we would have a Work Eq Safety Coordinator in place to progress these but are still working with HR to resolve this."
"CLAS","01/08/2025","31/01/2026","01/08/2025 00:00","10","10","6","3","50%","146","73","112","100","40%","1","1",,,,"0","0","0","4","3","0","0","134","67","35","0","0","[""RMS""]","3","0","True",,,"Somewhat Confident (36%-60%)","Quite Confident (61%-85%)",,,,,,"We decided to conduct our monitoring in one period over the summer, we are part of the way through that now, so we didn't have an exact amount scheduled for this reporting period, so I just halved our number of rooms. Due to the nature of our rooms I think this is a suitable approach.",
"English","01/08/2025","31/01/2026","01/08/2025 00:00","23","23","14","14","85","88","40","66","95%","60%","1","1","4","4","4","0","0","0","0","3","0","3","4","88","87","3","3","[""Inspection"",""Risk Assessment"",""Committee""]","7","13","True",,"14 risk assessments and standard templates are reviewed each summer and uploaded to the School's Safety Management Sharepoint site at start of each academic year.
21 additional risk assessments were completed from 02/01/25 to 31/07/25.
85% cover estimated as some activities may not be reported.
","Somewhat Confident (36%-60%)","Quite Confident (61%-85%)","Areas where training not currently available:
- Legionella Awareness training
- Mental Health First Aider training  
The School has limited records so 60% is a very rough overall estimate - fire safety training 45% but DSE 75%, MH, working at height and H&S training for Ops team at 95% ","Fire drills run by the Estates Office for Trent Building as this is a multiple occupancy building.  Last drill held on 10.07.25.","Data is for PEEPs by Faculty ESE team on behalf of School:
1.  School Staff - 0; ESE Staff – 1; Students – 7 (4 students confirmed they did not want a PEEP, so 3)
2.  Staff – 1; Students - 3
3.  PEEPs reviewed annually.  Guidance requested re. PEEP drills - not seen this requirement before","Not applicable to the School of English","No additional comments for this item.","4 areas currently include:
- School corridors A & C floor, Trent (7 monthly, 3 start of term - 1 outstanding)
- PhD offices, LG floor, Trent (in above checks)
- Staff offices (1 annual check) 
- Performing Arts Studios, Trent & MPB combined (77 daily housekeeping drama inspections - not space RAs)
","Action Log for the School is taken from following 3 sources:
1. RMS Actions - 2 due, 7 completed
2. Inspection Checklist - 3 due (including 2 by Estates), 6 completed (including 1 by Estates)
3. Raised by School Management Committee (2 due, 0 completed)"
"Humanities","01/08/2025","31/01/2026","01/08/2025 00:00","31","29","41","41","85%","152","85","100","90%","60%","0","0","8","8","0","3","0","0","0","2","0","2","8","48","48","3","0","[""Other""]","12","4","True","29 items currently included on the BUA are up to date - annual review takes place each summer in readiness for the new academic year.  There are two other arrangements: 'Compressed Gases' and 'Work Equipment' which require inclusion and this is being attended to.","We update RAs annually over the summer. 

Gen Hums: 9 'static' /6 'templates'.  One template requires update - activity hasn't taken place for a while.  Will be updated when required. 

Classics and Archaeology Labs: 32 RAs. 5 require update but activity hasn't taken place for a while.

","Somewhat Confident (36%-60%)","Quite Confident (61%-85%)","We don't believe the central data for Fire Safety training is up to date. We don't have the resource to maintain separate records, which we used to, but we have a number of staff on our older lists who we believe have done the training but are not on the central records as in date or expired.","We manage 3 buildings - all 3 fire drills were carried out in January 2025, so just outside this reporting period.","Students: 8 in place.  3 other students stated didn't need a PEEP, 3 didn't respond to emails.
Staff: 0.  2 members were approached about a PEEP but didn't feel they required one.
We weren't aware of the need for drills until we read this question, so this will require attention.","We only have LEV - 2 x fume hoods and 1 x exhaust hood.
0 inspections were due during the reporting period.","One was event of ill health, the second was a fall.","3 buildings: 1 checklist per floor, plus one for labs (8 total) - all done monthly. So in 6 month period 48 checklists completed (8x6).  All up to date.
Leadership walkaround due for all 3 buildings - scheduled prior to the new academic year.  Completing these monthly is labour intensive.
","Some actions require input from elsewhere in UoN, which we are waiting on/chasing (carried over from previous reporting period).  Outstanding ones will be completed during the summer or as responses are received to queries. Currently don't have separate action log - all are in RMS."
"Economics","01/08/2025","31/01/2026","01/08/2025 00:00","1","1","4","4","100","108","54","75","85","47","1","0","0","0","0","0","0","0","0","0","0","0","1","89","89","1","1",,"2","1","True",,,"Somewhat Confident (36%-60%)",,,,,,,"I have entered 1 area for all the rooms the school occupy in the building, the number of inspections completed indicate the actual office inspections taken place in the reporting period.",
"Business School","01/08/2025","31/01/2026","01/08/2025 00:00","26","26","48","47","98","256","230","212","0","83","3","2","0","0","0","0","0","0","0","1","0","1","3","3","3","0","0","[""Committee"",""RMS""]","6","5","True",,,"Very Confident (86%-100%)","Very Confident (86%-100%)","We don't have an active training matrix, this is an objective of the faculty to bring this up to date. Staff are informed of mandatory training (Fire and Induction) as part of their induction. Reports are run on a monthly basis to identify colleagues who have incomplete/expired mandatory training.","All building had scheduled fire drills in November 2024. Next planned scheduled drills are September 2025. Three unplanned drills (1 BSN, 1 BSS) during this period.","HSC is only aware of staff PEEPS, of which we have none in place.",,,"3 = no. of buildings for which the school is responsible. Agreed with H&S that regular meetings between Head of School, Health & Safety Coordinator and the Senior Operations Manager would be sufficient in place of Leadership Walkarounds.","Completion of the Workplace Stress Risk Assessment remains the one medium/high risk action to be completed as at 31/07/2025."
"Education","01/08/2025","31/01/2026","01/08/2025 00:00","25","25","5","5","80","156","169","170","100","80","1","1","0","0","0","0","0","0","0","1","0","1","1","141","141","1","1","[""RMS""]","4","3","True","BU document completed within the last 2 years and all relevant sections completed - I assume this is what the question was getting at, but think question 2 should be clearer.","Core risk assessments fine. Steps will be taken to ensure travel  and events risk assessment are  always completed when needed.","Somewhat Confident (36%-60%)","Quite Confident (61%-85%)","Numbers will include leavers and tutors who only worked with us during summer months. This is why current staff number is lower than completions.

Because of the above I cannot be confident about whether all current staff have completed the essential training.

",,,,,"I have entered 1 area for all the rooms the school occupy in the building, the number of inspections completed indicate the actual office inspections taken place in the reporting period.",
"Law","01/08/2025","31/01/2026","01/08/2025 00:00","1","1","6","6","80","118","45","80","100","0","1","0","0","0","0","0","0","0","0","1","0","1","1","89","89","1","1","[""Housekeeping"",""Inspection"",""Risk Assessment""]","0","0","True","BU arrangements are in place and up-to-date. There is an update cycle to ensure compliance.","Risk assessments are regularly undertaken and stored on the risk register. Please note some RAs on the register will be for one-off events and therefore do not require updating.

RAs for individual staff travel are stored on a Faculty system. To avoid duplication these are not on Law's register.","Not Confident (0%-35%)","Quite Confident (61%-85%)","Staff list includes casual staff & External Examiners - what H&S training must they undertake or should they be excluded?
Please advise when H&S 'induction' refresher training will be available for staff
Cannot complete % staff trained - need refresher training & clarity on casuals/EEs","LaSS building is a multi occupancy building and is due its fire test in January, i am unaware of a test being carried out in this reporting period","Awaiting new PEEPs policy. Unclear who should complete PEEP & complete drills - staff work across a wide number of buildings?",,"One incident reported #18209 21 Feb 2025","I have entered 1 area for all the rooms the school occupy in the building, the number of inspections completed indicate the actual office inspections taken place in the reporting period.","Some low-priority actions following building inspection. These are underway."
"Politics and IR","01/08/2025","31/01/2026","01/08/2025 00:00","22","22","5","5","100","63","57","65","100","100","1","0","0","0","0","0","0","0","0","0","0","0","1","65","65","1","1",,"0","0","True",,,"Very Confident (86%-100%)","Very Confident (86%-100%)",,,"No PEEPs for staff and PGR students recorded.  
Unable to acquire data for UG students.",,"No incidents, accidents or near misses have been reported for this period.","I have entered 1 area for all the rooms the school occupy in the building, the number of inspections completed indicate the actual office inspections taken place in the reporting period.","One outstanding action log on RMS to be completed in September.
"
"Rights Lab","01/08/2025","31/01/2026","01/08/2025 00:00","33","33","6","6","85","42","97%","97%","100%","97%","1","0","0","0","0","0","0","0","0","0","0","0","2","6","6","1","2","[""Housekeeping"",""Risk Assessment"",""Other""]","3","3","True","33 in total - including shared building & working space arrangements in the building (there are 2 other BUs within Highfield House). All arrangements are up-to-date. 

27 taken from 'Subject Area' columns
1 shared building arrangement
4 shared working space arrangements","All risk assessments are up to date. 

Need to complete work related stress for business unit - currently have centrally produced master RA.

Staff complete a risk assessment when travelling for work related activities. Risk assessments are completed prior to any travel being booked. ","Quite Confident (61%-85%)","Quite Confident (61%-85%)","Unable to access the staff lists in UniCore - but we have our team's profiles listed on our website. 

1 member of staff is not on the UniCore training records - currently chasing them for their fire training & H&S training date - previously completed when they first started. ","Fire drill for Highfield House will be arranged in the coming weeks (before the end of August 2025). ","There are no PEEPs required within the business unit. ","No assets hosted in the Allianz system. ","No incidents in this reporting period. Last incident was in 2024 (and was reported). ","I have entered 2 areas for the inspection within the BU - 1st being the ground floor, and 2nd the first floor. 

There are 14 offices in total within the BU, a meeting room (shared with the other 2 BUs in the building), a communal/eating area & shared kitchen - both shared with other BUs. ","Most actions in RMS were low priority - currently no outstanding actions. "
"Sociology","01/08/2025","31/01/2026","01/08/2025 00:00","0","0","2","2","100","90","76","89","100","70","1","0","0","0","0","0","0","0","0","0","0","0","1","68","68","1","1",,"0","0","True",,,"Somewhat Confident (36%-60%)","Very Confident (86%-100%)","I was unable to pull up the unicore report I don't believe I have access so the No of staff is and estimate.","LaSS building is a multioccupancy building and the fire tests are arranged by Estates, I am not aware of one being carried out in this reporting period, the next test is due Jan 26.",,,,"I have entered 1 area for all the rooms the school occupy in the building, the number of inspections completed indicate the actual office inspections taken place in the reporting period.",
"Geography","01/08/2025","31/01/2026","01/08/2025 00:00","33","33","246","42","90","75","68","72","100","100","1","0","2","2","0","0","0","0","0","5","4","9","2","10","10","0","0","[""RMS"",""Inspection"",""Housekeeping""]","0","0","True","Since completing our BU arrangements document in 2024, we have added a further 2 areas relevant to our school (noise and health surveillance). I have reviewed the information in the form (24/7/25) to ensure this is all still relevant since our submission last year. This is all fine. ","No. RA updated in last 2 yrs - this number is relatively low as the majority of RA on the database relate to one-off trips. 

% coverage - I have been cautious in this number.  ","Very Confident (86%-100%)","Very Confident (86%-100%)","We have good compliance with staff undertaking Induction and fire training. 2 members of staff are based remotely (outside of the UK) who have not completed wither training. We are not chasing this. 

% training identified - all training identified is accessible to those who need it.  ","Fire drills are under ken annually in November. The last drill was in November 2024, thus reporting 0 for drills during the report period. . ","We had 1 student who had a permanent PEEP (they have now graduated) and one who had a temporary PEEP (they needed this for 4-6 weeks).  A drill wasn't carried out for the UG student during the reporting period, nor for the person with a temporary PEEP. ",,,"Number of areas for inspection - I have entered two (Offices and Labs/workshop) 

No. of inspections n monitoring schedule - this includes monthly lab inspections and H&S inspections
No. inspections carried out - total over the current reporting period undertaken
","Departmental Action Log is not present. We have logs for RMS, inspections and housekeeping, but not a combined action log. "
"HR","01/08/2025","31/01/2026","01/08/2025 00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"True",,,,,,,,,,,
"Estates","01/08/2025","31/01/2026","01/08/2025 00:00","37","36","357","279","75","1,150","817","817","80","70","15","15","0","0","0","944","41","53","34","127","30","93","65","456","510","2","2",,"57","41","True","Number of relevant subjects (plus business unit specific subjects) ticked as relevant on most recent Arrangements document submitted to HSD. The 1 arrangement identified as 'un-reviewed' is stress management (reflecting HSD steer to all BUs to score that RMS module as red).","Estimate of coverage and confidence rating based on various considerations, including; sample audit of risk assessments in summer 2024, HSD's current COSHH audit, HSRMS returns, outcome of HSE interventions (e.g. vibration, pesticide management, crypto).","Quite Confident (61%-85%)","Quite Confident (61%-85%)","No. of staff from E&F Business Admin. % are from E&F training records (July 2025) as Unicore doesn't include E&F face to face versions. Total attendance for both courses (attended but not refreshed) is 96%. Gaps mainly low volume/specialist training. Est of % in date based on mandatory course data. ","Halls (14 of 14) and Trent (1 of 1).

General note (as opportunity to use 'spare' character count): Can character count be increased please? Would suggest at least doubled, as not possible to supply all required or relevant information (but opportunity to provide narrative is v useful).","Response to data request sent to HR: We have analysed the necessary data from Unicore and can confirm that as at 25.07.2025 there is no updated record of any employee from Estates and Facilities requiring Personal Emergency Evacuation Plan and hence no confirmation of active PEEPs in place.","Note that need to compare HSD figures and data included in E&F's Monthly Estates Compliance Dashboard (produced by E&F Compliance Team) to understand if reporting is comparable and/or how it differs. E.g. July Estates Compliance Dashboard identified 46 A and B defects, but zero defects unresolved.","No. of incidents from IRS - includes injury/ill health incidents and near misses, as would require off-line/manual process to categorise each incident in IRS as near miss, etc. No. of investigations is no. of unclosed IRS records for same reason. No. of near miss from E&F near miss system. ","Summary due to character limit: Monitoring varies reflecting wide variety of E&F activities. No single system, not all to a schedule, some only recorded locally, etc Numbers are totals delivered, inc. not to schedule, from systems where data readily retrievable (e.g. SafetyCulture), so indicative.","Several (UoN and E&F) processes in use, but n0 single log. Some don't enable reporting on actions (e.g. IRS) and/or categorise actions H/M/L and/or enable tracking of when due/completed. Numbers indicative from data readily retrievable, plus some reasonable manual/off-line processing."
"Clinical Skills","01/08/2025","31/01/2026","01/08/2025 00:00","13","13","12","11","75","9","9","9","100","50","1","1","0","0","0","12","1","0","0","4","0","4","11","88","63","1","1","[""RMS""]","3","3","True",,,,,,"Clinical Skills is based across the Medical School Building and QMC. Business Unit is not primarily responsible for the fire drills in either building however they have been conducted in the Medical School Building. NUHT are responsible for fire drills in the QMC however these have not occurred.",,"The number of assets owned by Clinical Skills is higher than the number reported. Significant work has been undertaken to resolve this, but has not yet been achieved. The BU assets are likely reported via Medicine and Life Sciences as checks are completed.",,,
"Finance and Infrastructure","01/08/2025","31/01/2026","01/08/2025 00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"True",,,,,,,,,,,
"Libraries","01/08/2025","31/01/2026","01/08/2025 00:00","27","23","76","53","83","260","234","239","89","76","9","8","2","2","8","0","0","0","0","15","3","13","16","32","32","11","10",,"6","4","True","Having reviewed the BU Arrangements document four areas that have been flagged as relevant are not covered. These areas are Asbestos, Hazardous Substances, Legionella and Statutory Inspections, we will review to if these are relevant to the BU and take appropriate steps to remove or action. ","We are waiting for the new stress policy framework and policy to be rolled out within Libraries, so this Topic is not yet covered with departmental RA's. Some RA's do not undergo formal review, but are amended as appropriate on an ongoing basis. We are reporting these as not reviewed.","Quite Confident (61%-85%)","Quite Confident (61%-85%)","Percentage of staff in date figure of 76% was calculated by bringing together local team records. We will explore ways of capturing this information so it is more readily available for ongoing internal reporting.","The outstanding drill covers the Library areas within Kings Meadow Campus which would be part of the wider KMC fire drill, which is not organised by Libraries.","Within the department two PEEP's have been mitigated due to a change in work location, as such these have not been included in the reported numbers.
This leaves two remaining PEEP's within the department.","University of Nottingham Libraries have no assets listing on the Allianz Summary. ","Of the 15 incidents reported during the return period, 2 are currently under investigation.","Inspections of areas is carried out by Libraries H&S Committee reps for the buildings or areas their teams occupy. Recording is through a Microsoft form, with responses submitted by each Rep. Leadership Walkabouts are recorded and stored within the H&S SharePoint. ","Actions are now being recorded and tracked through the newly implemented  Risk Management System. Staff absence has delayed the completion of some actions, time lines will be extended accordingly to be completed within 1 to 2 months."
"Sport","01/08/2025","31/01/2026","01/08/2025 00:00","22","15","56","5","95","137","80","80","100","70","3","3","0","0","1","89","8","5","0","19","2","19","1","1","1","0","0","[""Inspection"",""Risk Assessment"",""Committee""]","5","0","True","support required form safety team to complete outstanding elements of BAU arrangement sheet",,"Quite Confident (61%-85%)","Quite Confident (61%-85%)","not possible at present to obtain accurate numbers for sport - data available via links on this page to A.R department only.  Exercise will be completed to capture  all staff via team leads and re- submit data at next KPI return date
figs opposite therefore are an estimate based on data available",,,,,,
